_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NO_SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
5168,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,NO,8,1,3,19,176,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4168986,NO,NO,NO,30  HUMBERLINE DR ,YES,FREE,1,DOUBLE PANE,1984,2017
5169,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,22,,,,,PRIVATE,4171348,,,,3488  YONGE ST ,,,8,DOUBLE PANE,,
5170,NONE,,YES,YES,24 indoor parking spots and 24 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,NO,15,1,2,11,106,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4166819,NO,YES,NO,99  VAUGHAN RD ,YES,PAID,12,SINGLE PANE,1991,2017
5171,NONE,,YES,YES,20 indoor parking spots and 15 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0,3,3,23,321,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,VERTICA RESIDENT SERVICES,PRIVATE,4166848,NO,YES,NO,65  HIGH PARK AVE ,YES,PAID,4,DOUBLE PANE,1969,2017
5172,NONE,,NO,NO,0 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,3,18,NO,,YES,,PRIVATE,4167693,NO,YES,NO,326  AVENUE RD ,NO,UNAVAILABLE,12,DOUBLE PANE,1925,2017
5173,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,YES,YES,YES,1,1,0,3,12,YES,Surface Parking,NO,TCH,TCHC,4167701,NO,NO,NO,417  GERRARD ST E,NO,PAID,13,DOUBLE PANE,1980,2017
5174,NONE,,YES,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,2,2,5,72,NO,"Ground Level Garage , Surface Parking",YES,2585276 ONTARIO LIMITED,PRIVATE,4152697,NO,NO,NO,2354  EGLINTON AVE E,YES,FREE,21,DOUBLE PANE,1960,2017
5175,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,20,1,4,20,NO,Surface Parking,YES,PAUL THORNTON,PRIVATE,4152699,NO,NO,NO,1165  BIRCHMOUNT RD ,YES,UNAVAILABLE,21,DOUBLE PANE,1965,2017
5176,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,1,5,33,YES,"Carport , Surface Parking",YES,MONTEREY PARK INC.,PRIVATE,4152705,NO,YES,NO,815  KENNEDY RD ,NO,PAID,21,DOUBLE PANE,1969,2017
5177,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,44,1,6,59,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4152707,NO,YES,NO,821  KENNEDY RD ,NO,UNAVAILABLE,21,DOUBLE PANE,1961,2017
5178,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,1,40,1,6,50,NO,"Ground Level Garage , Surface Parking",NO,D&D MANAGEMENT,PRIVATE,4152708,NO,NO,NO,831  KENNEDY RD ,YES,FREE,21,DOUBLE PANE,1954,2017
5179,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,2,12,167,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,H&R PROPERTY MANAGEMENT,PRIVATE,4152727,NO,YES,NO,1  ANTRIM CRES ,YES,FREE,21,DOUBLE PANE,1970,2017
5180,NONE,Indoor recreation room,YES,YES,10 indoor parking spots and 0 outdoor parking spots,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2,24,1,4,44,NO,"Underground Garage , Garage accessible thru buildg",YES,,SOCIAL HOUSING,4153117,NO,YES,NO,6 A  GREENLAW AVE ,YES,UNAVAILABLE,9,DOUBLE PANE,1993,2017
5181,NONE,,YES,YES,10 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,69,0,2,7,69,NO,Underground Garage,YES,,PRIVATE,4153596,NO,YES,NO,222  WELLESLEY ST E,YES,UNAVAILABLE,13,DOUBLE PANE,1963,2017
5182,NONE,,YES,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,4,0,3,10,YES,Surface Parking,YES,1687362ONTARIO INC,PRIVATE,4153609,NO,NO,NO,648  BROADVIEW AVE ,NO,UNAVAILABLE,14,DOUBLE PANE,1910,2017
5183,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0,0,0,3,39,YES,Surface Parking,YES,AKELIUS CANADA LTD,PRIVATE,4153614,NO,YES,NO,778  BROADVIEW AVE ,NO,UNAVAILABLE,14,DOUBLE PANE,1929,2019
5184,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,155,0,2,12,155,NO,"Underground Garage , Garage accessible thru buildg",YES,ENDERBY DEVELOPMENTS LIMITED,PRIVATE,4154112,NO,NO,NO,55  COSBURN AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1973,2017
5185,INDIVIDUAL UNITS,,YES,YES,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,160,1,2,12,160,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,HERMAX DEVELOPMENTS LIMITED,PRIVATE,4154116,NO,NO,NO,130  GOWAN AVE ,YES,FREE,14,DOUBLE PANE,1968,2017
5186,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,1,6,49,NO,"Ground Level Garage , Surface Parking",YES,CONNAUGHT YONGE SQUARE LIMITED,PRIVATE,4154122,NO,NO,NO,45  GAMBLE AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1974,2017
5187,CENTRAL AIR,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna",YES,YES,Not Available,NO,Recycling bins,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,NO,0,2,5,21,372,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,OXFORD PROPERTIES GROUP,PRIVATE,4154624,NO,YES,NO,300  ANTIBES DR ,YES,FREE,6,DOUBLE PANE,1979,2017
5188,NONE,Outdoor pool,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,2,12,120,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154631,NO,NO,NO,6010  BATHURST ST ,YES,FREE,6,DOUBLE PANE,1969,2017
5189,NONE,"Outdoor pool , Child play area",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,2,13,128,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154632,NO,NO,NO,12  ROCKFORD RD ,YES,FREE,6,DOUBLE PANE,1964,2017
5190,CENTRAL AIR,Outdoor pool,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,2,3,9,244,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4154640,NO,YES,NO,605  FINCH AVE W,YES,FREE,6,DOUBLE PANE,1967,2017
5191,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,YES,143,1,2,12,143,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154641,NO,YES,NO,12  GOLDFINCH CRT ,YES,FREE,6,DOUBLE PANE,1969,2017
5192,NONE,Outdoor pool,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,2,3,15,174,NO,"Underground Garage , Surface Parking",NO,,PRIVATE,4154644,NO,YES,NO,11  GOLDFINCH CRT ,YES,FREE,6,DOUBLE PANE,1964,2017
5193,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,,0,3,29,NO,,NO,,PRIVATE,4155015,NO,NO,NO,355  WESTMOUNT AVE ,NO,UNAVAILABLE,9,DOUBLE PANE,1952,2017
5194,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,45,NO,Surface Parking,YES,,PRIVATE,4155035,NO,NO,NO,641  VAUGHAN RD ,NO,FREE,12,DOUBLE PANE,1955,2017
5195,NONE,Outdoor rec facilities,YES,NO,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0,0,2,11,86,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4155038,NO,NO,NO,633  NORTHCLIFFE BLVD ,YES,UNAVAILABLE,12,DOUBLE PANE,1968,2017
5196,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,NO,0,1,0,3,18,NO,Surface Parking,NO,,PRIVATE,4155540,NO,YES,NO,100  TWENTY FIFTH ST ,NO,UNAVAILABLE,3,THERMAL,1970,2017
5197,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,13,0,3,13,NO,Surface Parking,YES,,PRIVATE,4155542,NO,YES,NO,44  ARCADIAN CRCL ,NO,UNAVAILABLE,3,DOUBLE PANE,1957,2017
5198,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,3,41,YES,Surface Parking,YES,CIO MANAGEMENT,PRIVATE,4155558,NO,YES,NO,87  FORTY SECOND ST ,YES,UNAVAILABLE,3,DOUBLE PANE,1959,2017
5199,CENTRAL AIR,"Indoor pool , Child play area",YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,2,3,20,238,NO,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking",YES,,PRIVATE,4156076,NO,YES,NO,1580  SANDHURST CRCL ,YES,PAID,23,DOUBLE PANE,1979,2017
5200,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,1,2,15,131,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,1351895 ONTARIO LIMITED,PRIVATE,4156492,NO,NO,NO,235  GOSFORD BLVD ,YES,FREE,7,SINGLE PANE,1974,2017
5201,NONE,,YES,NO,0 indoor parking spots and 14 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,4,38,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GOLD SEAL MANAGEMENT INC.,PRIVATE,4156504,NO,YES,NO,41  BROOKWELL DR ,YES,UNAVAILABLE,6,THERMAL,1966,2017
5202,NONE,Indoor recreation room,YES,YES,5 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,NO,10,50,2,11,170,YES,"Underground Garage , Garage accessible thru buildg",YES,,SOCIAL HOUSING,4152738,NO,NO,NO,3010  LAWRENCE AVE E,YES,FREE,21,DOUBLE PANE,1989,2017
5203,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,0,3,15,172,NO,"Underground Garage , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152755,NO,NO,NO,1360  DANFORTH RD ,YES,FREE,21,DOUBLE PANE,1963,2017
5204,NONE,"Indoor exercise room , Sauna",YES,YES,Not Available,YES,Recycling bins,YES,YES,ELECTRIC,YES,YES,NO,YES,YES,1,0,2,10,61,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4153179,NO,YES,NO,34  WALMER RD ,YES,FREE,11,DOUBLE PANE,1971,2017
5205,NONE,,YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,71,2,2,8,72,YES,Underground Garage,YES,,PRIVATE,4153181,NO,YES,NO,22  WALMER RD ,YES,BOTH,11,DOUBLE PANE,1960,2018
5206,NONE,,NO,NO,0 indoor parking spots and 15 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,24,NO,Surface Parking,NO,TYNDALLWOOD INVESTMENTS LTD ,PRIVATE,4153184,NO,YES,NO,42  BARTON AVE ,YES,UNAVAILABLE,11,DOUBLE PANE,1929,2017
5207,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,5,1,4,51,YES,"Underground Garage , Garage accessible thru buildg",NO,TCH,TCHC,4153632,NO,NO,NO,29  LOUVAIN AVE ,YES,PAID,14,DOUBLE PANE,1993,2017
5208,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,NO,0,1,1,5,29,NO,Carport,YES,,SOCIAL HOUSING,4153644,NO,NO,NO,1119  GERRARD ST E,YES,UNAVAILABLE,14,DOUBLE PANE,1996,2017
5209,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,3,6,2,8,139,YES,Surface Parking,YES,,TCHC,4153646,NO,NO,NO,369  PAPE AVE ,YES,PAID,14,DOUBLE PANE,1981,2017
5210,NONE,,YES,NO,0 indoor parking spots and 4 outdoor parking spots,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0,0,0,3,15,NO,Surface Parking,YES,,PRIVATE,4153650,NO,YES,NO,768  PAPE AVE ,NO,UNAVAILABLE,14,DOUBLE PANE,1990,2017
5211,NONE,Indoor recreation room,YES,YES,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,NO,YES,YES,7,0,2,6,98,NO,"Underground Garage , Garage accessible thru buildg",YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4153656,NO,NO,NO,100  UNITY RD ,YES,FREE,14,DOUBLE PANE,1985,2017
5212,NONE,Child play area,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,10,3,20,314,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,Q RESIDENTIAL,PRIVATE,4154156,NO,YES,NO,71  THORNCLIFFE PARK DR ,YES,PAID,15,DOUBLE PANE,1966,2017
5213,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,6,69,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",YES,CROMWELL MANAGEMENT INC.,PRIVATE,4154180,NO,NO,NO,1291  BAYVIEW AVE ,YES,UNAVAILABLE,15,DOUBLE PANE,1965,2017
5214,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0,4,0,3,14,YES,"Ground Level Garage , Carport",NO,,PRIVATE,4154185,NO,YES,NO,715  MILLWOOD RD ,NO,UNAVAILABLE,15,DOUBLE PANE,1950,2017
5215,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0,9,0,3,11,NO,"Ground Level Garage , Surface Parking",YES,GDH APARTMENT GROUP LTD.,PRIVATE,4154688,NO,YES,NO,4087  BATHURST ST ,NO,UNAVAILABLE,6,DOUBLE PANE,1958,2018
5216,NONE,,YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,5,62,NO,Surface Parking,YES,ACCADIA APARTMENTS,PRIVATE,4155058,NO,NO,NO,1090  ROSELAWN AVE ,YES,FREE,8,DOUBLE PANE,1960,2017
5217,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,24,0,3,24,NO,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4155060,NO,YES,NO,178  LOCKSLEY AVE ,YES,UNAVAILABLE,8,DOUBLE PANE,1960,2017
5218,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,3,29,NO,Surface Parking,NO,PROPERTY SERVICES INC.,PRIVATE,4155076,NO,NO,NO,526  HARVIE AVE ,NO,UNAVAILABLE,9,DOUBLE PANE,1960,2017
5219,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,6,3,10,198,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4155575,NO,NO,NO,400  MCCOWAN RD ,YES,BOTH,21,DOUBLE PANE,1968,2017
5220,NONE,Outdoor pool,YES,YES,10 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,1,3,16,224,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,COGIR REAL ESTATE,PRIVATE,4156131,NO,YES,NO,24  LEITH HILL RD ,YES,FREE,17,DOUBLE PANE,1966,2017
5221,NONE,,YES,NO,0 indoor parking spots and 7 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,4,38,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GOLD SEAL MANAGEMENT INC.,PRIVATE,4156512,NO,YES,NO,32  BROOKWELL DR ,YES,FREE,6,SINGLE PANE,1964,2017
5222,CENTRAL AIR,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,NO,YES,YES,0,0,3,12,250,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4152768,NO,YES,NO,123  BELLAMY RD N,YES,PAID,21,DOUBLE PANE,1964,2017
5223,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,123,8,2,13,123,NO,"Underground Garage , Garage accessible thru buildg",YES,CANDO APARTMENTS LTD.,PRIVATE,4152773,NO,YES,NO,3201  LAWRENCE AVE E,YES,FREE,21,DOUBLE PANE,1960,2017
5224,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,,,1,4,18,NO,"Carport , Surface Parking",YES,,PRIVATE,4152778,NO,NO,NO,3171  KINGSTON RD ,YES,UNAVAILABLE,20,SINGLE PANE,1960,2018
5225,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,1,1,5,53,NO,"Ground Level Garage , Surface Parking",YES,KPM,PRIVATE,4152779,NO,YES,NO,3207  KINGSTON RD ,YES,FREE,20,DOUBLE PANE,1968,2017
5226,NONE,Outdoor pool,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0,0,3,6,83,NO,Ground Level Garage,YES,PARK PROPERTY MANAGEMENT INC.,PRIVATE,4152781,NO,YES,NO,131  MINERVA AVE ,YES,UNAVAILABLE,20,DOUBLE PANE,1964,2017
5227,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,85,2,7,82,YES,"Underground Garage , Ground Level Garage",NO,,PRIVATE,4152790,NO,NO,NO,3131  EGLINTON AVE E,NO,FREE,20,DOUBLE PANE,1960,2017
5228,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,239,2,3,21,239,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152799,NO,NO,NO,25  COUGAR CRT ,YES,FREE,24,SINGLE PANE,1965,2017
5229,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,16,,,,,PRIVATE,4153196,,,,2  VERMONT AVE ,,,11,DOUBLE PANE,,
5230,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",YES,YES,40 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0,3,3,19,149,NO,"Underground Garage , Garage accessible thru buildg",YES,VERTICA RESIDENT SERVICES,PRIVATE,4153213,NO,YES,NO,50  PRINCE ARTHUR AVE ,YES,FREE,11,DOUBLE PANE,1968,2017
5231,NONE,,YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,NO,NO,NO,YES,YES,0,0,1,9,91,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,HOLLYBURN PROPERTIES LIMITED,PRIVATE,4153220,NO,YES,NO,224  ST GEORGE ST ,NO,PAID,11,DOUBLE PANE,1955,2017
5232,NONE,Indoor recreation room,YES,YES,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,NO,0,0,1,5,53,NO,"Underground Garage , Garage accessible thru buildg",YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4153661,NO,YES,NO,51  DONLANDS AVE ,YES,FREE,14,DOUBLE PANE,1985,2017
5233,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,NO,NO,0,0,0,3,18,NO,,YES,793163 ONTARIO LIMITED ,PRIVATE,4153662,NO,YES,NO,2263  QUEEN ST E,NO,UNAVAILABLE,19,SINGLE PANE,1975,2017
5234,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,7,0,3,15,YES,Surface Parking,YES,OBEN PROPERTY MANAGEMENT,PRIVATE,4153676,NO,YES,NO,204  KINGSTON RD ,NO,UNAVAILABLE,19,SINGLE PANE,1934,2017
5235,NONE,,NO,NO,6 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,24,NO,Underground Garage,YES,JBLUE ENTERPRISES,PRIVATE,4153695,NO,YES,NO,737  KINGSTON RD ,YES,UNAVAILABLE,19,SINGLE PANE,1935,2017
5236,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,,NO,NO,YES,YES,0,,0,3,13,NO,"Underground Garage , Surface Parking",YES,,PRIVATE,4154188,NO,YES,NO,18  KENRAE RD ,YES,UNAVAILABLE,15,DOUBLE PANE,1956,2018
5237,NONE,,YES,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,53,1,6,49,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,JERUDAN DEVELOPMENTS LIMITED,PRIVATE,4154192,NO,YES,NO,972  EGLINTON AVE E,YES,FREE,15,DOUBLE PANE,1962,2017
5238,INDIVIDUAL UNITS,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,10,0,3,12,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154196,NO,NO,NO,27  BRENTCLIFFE RD ,NO,UNAVAILABLE,15,DOUBLE PANE,1960,2017
5239,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,0,7,0,3,10,YES,Surface Parking,NO,,PRIVATE,4154214,NO,YES,NO,1744  WILSON AVE ,YES,UNAVAILABLE,7,DOUBLE PANE,1950,2017
5240,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,115,11,2,13,115,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CANDO APARTMENTS LTD.,PRIVATE,4154224,NO,YES,NO,2600  JANE ST ,YES,PAID,7,DOUBLE PANE,1960,2017
5241,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,24,0,0,4,24,YES,"Ground Level Garage , Surface Parking",NO,QUEIJO PROPERTIES INC.,PRIVATE,4155090,NO,NO,NO,2  GLENHAVEN ST ,NO,UNAVAILABLE,5,DOUBLE PANE,1950,2017
5242,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,16,0,4,25,NO,Ground Level Garage,YES,,PRIVATE,4155096,NO,NO,NO,30  CLEARVIEW HTS ,NO,UNAVAILABLE,5,DOUBLE PANE,1960,2017
5243,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2,4,1,4,43,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,TCH,TCHC,4155612,NO,NO,NO,93  EDGEWOOD AVE ,YES,PAID,19,DOUBLE PANE,1956,2017
5244,NONE,,YES,NO,0 indoor parking spots and 6 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,0,2,10,105,YES,"Underground Garage , Surface Parking",YES,APLOMB PROPERTY INC.,PRIVATE,4153226,NO,NO,NO,191  ST GEORGE ST ,YES,FREE,11,DOUBLE PANE,1967,2017
5245,NONE,,YES,NO,90 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,11,80,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,WALL REAL ESTATE LIMITED,PRIVATE,4153234,NO,YES,NO,88  BERNARD AVE ,YES,UNAVAILABLE,11,DOUBLE PANE,1966,2017
